label [VARCHAR];description [TEXT]
outcrop;In situ natural outcrop
quarry;Quarry
cliff;Cliff
slope;Slope
beach;Beachside embankment
river;Riverbank
ditch;Ditch
cavity;Cavity
surf;Natural land surface
anthropic;anthropic outcrop
mine;Mine tailings
well;Well cuttings
trench;Trench
drill;Drilling cuttings
spoil;Spoils
pano;Panorama
boulder;Boulder
borehole;Undifferenciated borehole
piezo;Piezometer
road;road embankment
