label [VARCHAR];description [TEXT]
strech;Streching lineation
mineral;Mineral lineation
microfold;microfolding lineation
f-axis;Fold axis
intersect;Intersection lineation
crenul;Crenulation lineation
str;Fault striae
current;Paleocurrent
shear;Shear movement
und;undefined lineation
