label [VARCHAR];description [TEXT]
und;Undifferentiated contact
onlap;Depositional contact
erod;Sedimentary intrusive contact
confo;Conformable contact
unconfo;Unconformable contact
angular;Angular unconformable contact
disco;Disconformable contact
tecto;Tectonic contact
intru;Intrusive contact
weather;Weathering contact
hard;Hardground
stylo;Stylolithic contact
diag;Diagenetic contact
karst;Karst limit
volcano;Volcanic contact
strati;Stratigraphic contact
