Station;Datanum;Mission;Author;Provenance;x;y;Nature;Formation;Dip;Dir;Polarity
A0970;0;;;measured;3.995057037;44.23071899;Measure;socle;26;140;normal
A0971;1;;;measured;3.995485017;44.23064204;Passage;h5a;35;90;normal
